SalleDeBain,surface,chambres,salons,Secteur,price
2,110,3,2,Bourgogne,1450000
1,96,3,1,Aïn Chock,1390000
1,50,2,1,Ain Sebaa,460000
3,135,3,2,Californie,1600000
1,57,1,1,La Gironde,570000
2,127,3,1,Palmier,1900000
2,140,3,3,Oulfa,1500000
3,74,3,1,Lissasfa,1000000
2,90,3,2,Ain Sebaa,1000000
1,88,2,2,Hay Hassani,960000
2,88,3,1,La Gironde,1150000
1,138,4,1,Bourgogne,2500000
2,80,2,2,Sidi Othmane,420000
2,92,2,1,Bourgogne,1050000
2,154,3,3,Racine,2150000
2,74,2,2,Hermitage,885000
1,52,2,1,Oulfa,440000
1,105,3,1,Sidi Bernoussi,750000
2,80,3,1,Sidi Bernoussi,650000
2,93,2,1,Palmier,1400000
1,88,2,1,Autre secteur,1250000
1,64,2,1,Aïn Borja,500000
2,127,2,2,Abdelmoumen,1800000
1,130,3,3,Maarif,1450000
2,88,2,1,Roches Noires,906000
1,63,2,1,Derb Ghallef,700000
2,67,2,1,Oulfa,860000
2,74,2,1,Ain Sebaa,520000
2,110,2,1,Oulfa,1115000
2,150,3,2,Palmier,2700000
1,90,2,2,Aïn Borja,680000
1,63,2,1,Aïn Chock,580000
2,92,2,1,Errahma,520000
1,49,1,1,Bourgogne,985000
1,110,2,2,Roches Noires,900000
1,55,2,1,Sidi Bernoussi,416000
2,96,2,1,Gauthier,2500000
1,74,2,1,Oulfa,680000
1,60,2,1,Aïn Chock,700000
3,80,2,4,Sidi Maarouf,1670000
2,170,3,2,Abdelmoumen,2200000
2,78,2,1,Val Fleuri,1070000
2,75,2,2,Sidi Maarouf,950000
2,123,2,2,Palmier,1400000
2,128,3,2,Bournazil,1020000
2,72,2,1,Sbata,650000
2,180,3,1,La Gironde,1400000
1,60,2,1,Sidi Moumen,430000
1,54,1,1,Maârif Extension,1100000
1,74,2,1,Sidi Bernoussi,640000
2,78,2,1,Sidi Maarouf,760000
2,81,2,1,Sidi Bernoussi,840000
1,51,1,1,Beauséjour,809000
1,74,2,1,Sidi Bernoussi,640000
1,68,1,1,Aïn Chock,530000
2,128,3,1,Oulfa,1600000
2,186,4,2,Sidi Maarouf,1400000
2,162,2,2,C.I.L,1950000
2,66,2,1,Route d'Azemmour,900000
1,74,2,1,Centre Ville,895000
1,82,2,1,Oulfa,650000
1,65,3,1,Oulfa,450000
1,82,2,1,Oulfa,850000
2,74,2,1,Errahma,750000
2,85,2,1,Hay Hassani,1000000
1,93,2,2,Bournazil,780000
2,105,3,1,Sidi Maarouf,1250000
1,61,1,1,Oasis,1250000
1,100,2,1,Bachkou,1150000
1,55,2,1,Lissasfa,400000
5,100,8,4,Hay Mohammadi,1900000
2,143,3,2,Belvédère,1360000
2,80,2,2,Almaz,1050000
2,131,3,2,Al Fida,900000
2,88,2,1,Sidi Maarouf,1000000
2,107,2,1,Val Fleuri,1400000
1,110,3,1,Sidi Bernoussi,760000
3,124,2,1,Anfa,1900000
2,132,2,1,Maarif,1500000
2,175,3,2,La Gironde,1900000
1,65,2,1,Al Fida,480000
2,120,2,2,Belvédère,1100000
3,195,3,3,Racine,2900000
1,50,2,1,Sidi Maarouf,450000
1,70,2,1,Roches Noires,750000
1,70,2,1,Bourgogne,730000
3,212,7,2,Sidi Moumen,1370000
1,71,2,1,Roches Noires,750000
2,80,2,2,Sidi Othmane,420000
1,51,1,1,Beauséjour,809000
2,154,3,3,Racine,2150000
2,55,1,1,Centre Ville,900000
1,51,1,1,Centre Ville,540000
1,65,2,1,Aïn Chock,980000
2,116,3,2,Ben Ejdia,1450000
2,117,3,1,Bourgogne,1680000
1,92,2,1,Bourgogne,1100000
1,46,1,1,Oasis,1180000
2,136,4,1,Quartier des Hôpitaux,1660000
2,92,3,1,Aïn Borja,790000
2,79,3,1,Ain Sebaa,890000
1,82,2,1,Oulfa,650000
1,68,2,1,Oulfa,520000
1,65,3,1,Oulfa,450000
2,100,3,1,Maârif Extension,1400000
2,86,3,1,Errahma,560000
1,109,2,2,Ben M'sick,590000
2,93,2,1,Bourgogne,1500000
1,120,2,2,Hay Mohammadi,650000
1,70,2,1,Sidi Moumen,580000
1,72,2,1,Ain Sebaa,760000
1,55,1,1,Val Fleuri,1200000
1,47,2,1,Maarif,940000
2,156,3,1,2 Mars,1900000
2,100,3,1,Bachkou,1100000
1,75,2,1,Oulfa,850000
2,73,2,1,Sidi Moumen,700000
3,203,3,2,Maarif,1790000
2,173,3,2,Derb Ghallef,1800000
